"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Главная страница","2","0","Хедер","0"
"0","","0","Главная страница","16","0","Навигация","0"
"0","","0","Авторизация","1","0","Выход из системы","0"
"0","","0","Авторизация","3","0","Негативные сценарии","0"
"0","","0","Главная страница","1","0","Блоки на главной","0"
"0","","0","Восстановление пароля","2","0","Восстановление пароля по email","0"
"0","","0","Главная страница","2","0","Поиск","0"
"0","","0","Регистрация","5","0","Негативные сценарии","0"
"0","","0","Главная страница","2","0","Popular Tags","0"
"0","","0","Раздел Digital Downloads","5","0","Страница категории","0"
"0","","0","Главная страница","5","0","Community Poll","0"
"0","","0","Авторизация","1","0","Успешный вход","0"
"0","","0","Раздел Digital Downloads","2","0","Карточка товара","0"
"0","","0","Регистрация","2","0","Успешная регистрация","0"
"0","","0","Восстановление пароля","1","0","Ссылка 'Forgot password?'","0"
