"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Проверка видимости элементов хедера","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","404","Переход по ссылке 'Wishlist'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","1574","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","7048","Выход после успешного входа","tests","2026-09-15","passed","2026-09-15","TestLogin","test_login","",""
"","678","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","5621","Вход с пустыми полями","tests","2026-09-15","passed","2026-09-15","TestLogin","test_login","",""
"","572","Переход по ссылке 'Shopping cart'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","28","Проверка блоков Newsletter, Featured Products, Popular Tags","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","786","Переход по ссылкам в нижнем колонтитуле","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","18","Проверка видимости логотипа","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","2497","Проверка сообщений для существующего и несуществующего email","tests","2026-09-15","passed","2026-09-15","TestPasswordRecovery","test_password_recovery","",""
"","765","Поиск существующего товара","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","2043","Регистрация с коротким паролем","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"","2202","Регистрация с некорректным email","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"","772","Переход по тегу 'digital'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","847","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","670","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","1019","Сортировка товаров по имени (A to Z)","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","678","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"Проверяет, что страница категории Digital downloads корректно загружается: правильный URL, заголовок, элементы управления списком, наличие товаров.","31","Проверка загрузки страницы Digital downloads","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","85","Проверка отображения блока Community Poll","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","395","Голосование без авторизации показывает ошибку","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","469","Переход по ссылкам в нижнем колонтитуле","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","396","Голосование без авторизации показывает ошибку","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","790","Поиск несуществующего товара","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","527","Переход по ссылке 'View all'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"Проверяет, что при неверном пароле появляется сообщение об ошибке, пользователь не авторизован и остаётся на странице логина.","5570","Вход с неверным паролем","tests","2026-09-15","passed","2026-09-15","TestLogin","test_login","",""
"","2423","Проверка сообщений для существующего и несуществующего email","tests","2026-09-15","passed","2026-09-15","TestPasswordRecovery","test_password_recovery","",""
"Проверяет, что пользователь может войти с корректными email и паролем: происходит редирект на главную, отображается email и ссылка 'Log out'.","3121","Вход с валидными данными","tests","2026-09-15","passed","2026-09-15","TestLogin","test_login","",""
"","1429","Проверка ссылки на отзывы в карточке товара","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","390","Голосование без авторизации показывает ошибку","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","403","Голосование без авторизации показывает ошибку","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","697","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","3221","Регистрация с выбором пола Female","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"","463","Переход по ссылкам в нижнем колонтитуле","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"Проверяет, что карточка товара '3rd Album' открывается корректно и содержит ожидаемые данные: название, цену, кнопку 'Add to cart', поле ввода количества.","1459","Проверка карточки товара '3rd Album'","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","499","Переход по ссылке 'Register'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","527","Переход по ссылкам в нижнем колонтитуле","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","462","Переход по ссылке 'Log in'","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","1050","Изменение количества отображаемых товаров на 4","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","644","Переход по пунктам верхнего меню","tests","2026-09-15","passed","2026-09-15","TestHomePage","test_home","",""
"","1002","Переключение вида отображения на список","tests","2026-09-15","passed","2026-09-15","TestDigitalDownloads","test_digital_downloads","",""
"","2482","Вход с несуществующим email","tests","2026-09-15","passed","2026-09-15","TestLogin","test_login","",""
"Проверяет, что новый пользователь может зарегистрироваться и автоматически войти в систему.","3186","Регистрация нового пользователя","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"Проверяет, что при несовпадении пароля и подтверждения появляется ошибка.","2171","Регистрация с несовпадающими паролями","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"Проверяет, что при отправке пустой формы появляются ошибки валидации для обязательных полей.","2108","Регистрация с пустыми обязательными полями","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
"Проверяет, что при попытке зарегистрироваться с существующим email появляется сообщение об ошибке.","2919","Регистрация с уже существующим email","tests","2026-09-15","passed","2026-09-15","TestRegistration","test_registration","",""
